CV_GROUP_V4,N_LABELS,LABELS,N_SAMPLES,N_PAPER_RECORDS,DATABASES,CITATIONS,OLD_SPLIT_SETS
PAPER|GEOROC|CITATION_ID|3056,2,BABB|IOAB,32,1,GEOROC, [3056] EWART A. (1994),TRAIN
PAPER|GEOROC|CITATION_ID|16253,2,BABB|OIB,28,1,GEOROC, [16253] JENNER F. E. (2012),TRAIN
PAPER|GEOROC|CITATION_ID|1943,2,CFB|MORB,25,1,GEOROC, [1943] MAHONEY J. J. (1983),TRAIN
PAPER|GEOROC|CITATION_ID|2747,2,CFB|OIB,25,1,GEOROC, [2747] WASHINGTON H. S. (1922),TRAIN
PAPER|GEOROC|CITATION_ID|5169,2,MORB|OPB,23,1,GEOROC, [5169] NEAL C. R. (2002),TRAIN
PAPER|GEOROC|CITATION_ID|1480,2,MORB|OIB,21,1,GEOROC, [1480] PAN Y. (1998),TRAIN
PAPER|MERGED|4b4e2a22dbd8e4c9,2,MORB|OIB,17,2,GEOROC || PetDB," [8351] HARPP K. S.(2003)  [GeoReM [1073] ] || Harpp, K. S., Fornari, D. J., ... Kurz, M. D. (2003). GENOVESA SUBMARINE RIDGE: A MANIFESTATION OF PLUME-RIDGE INTERACTION IN THE NORTHERN GALAPAGOS ISLANDS. GEOCHEM GEOPHYS GEOSYST, 4(9)",TRAIN
PAPER|MERGED|58a8c3e9e3a9f318,2,MORB|OIB,17,2,GEOROC || PetDB," [2260] KEMPTON P. D.(2000)  [GeoReM [4221] ] || Kempton, P. D., Fitton, J. G., ... Pearson, G. (2000). THE ICELAND PLUME IN SPACE AND TIME: A SR-ND-PB-HF STUDY OF THE NORTH ATLANTIC RIFTED MARGIN. EARTH PLANET SCI LETT, 177, 255-271.",TRAIN
PAPER|GEOROC|CITATION_ID|20498,2,BABB|IOAB,16,1,GEOROC, [20498] IKEDA Y. (2016),TRAIN
PAPER|GEOROC|CITATION_ID|7883,2,IAB|OPB,16,1,GEOROC, [7883] JONES G. (1993),TRAIN
PAPER|GEOROC|CITATION_ID|1858,2,CFB|IOAB,13,1,GEOROC, [1858] HELLMAN P. L. (1981),TRAIN
PAPER|GEOROC|CITATION_ID|25797,2,CFB|OIB,13,1,GEOROC, [25797] JANSEN M. W. (2022),TEST
PAPER|GEOROC|CITATION_ID|6857,2,CFB|OIB,12,1,GEOROC, [6857] EWART A.(2004)  [GeoReM [750] ],TRAIN
PAPER|GEOROC|CITATION_ID|4568,2,IAB|IOAB,11,1,GEOROC, [4568] KUNO H. (2011),TRAIN
PAPER|GEOROC|CITATION_ID|20793,2,CFB|OIB,10,1,GEOROC, [20793] LIU SHENG-AO(2015)  [GeoReM [8639] ],TRAIN
PAPER|GEOROC|CITATION_ID|2623,2,IOAB|OIB,10,1,GEOROC, [2623] RYAN J. G. (1988),TRAIN
PAPER|GEOROC|CITATION_ID|2270,2,IAB|IOAB,8,1,GEOROC, [2270] GUST D. A. (1997),TRAIN
PAPER|GEOROC|CITATION_ID|2904,2,MORB|OPB,8,1,GEOROC, [2904] HOUGHTON R. L.(1979)  [GeoReM [1244] ],TRAIN
PAPER|MERGED|23e4ac0fd6053d4b,2,MORB|OIB,7,2,GEOROC || PetDB," [11979] ZELLMER G. F.(2008)  [GeoReM [4028] ] || Zellmer, G. F., Rubin, K. H., ... Jurado-chichay, Z. (2008). ON THE RECENT BIMODAL MAGMATIC PROCESSES AND THEIR RATES IN THE TORFAJÖKULL–VEIDIVÖTN AREA, ICELAND. EARTH PLANET SCI LETT, 269(3-4), 398.",TRAIN
PAPER|GEOROC|CITATION_ID|3242,2,IAB|IOAB,6,1,GEOROC, [3242] SAKUYAMA M. (1986),TEST
PAPER|GEOROC|CITATION_ID|10608,2,BABB|OIB,5,1,GEOROC, [10608] PEARCE J. A.(2007)  [GeoReM [2940] ],TEST
PAPER|GEOROC|CITATION_ID|1589,2,MORB|OPB,5,1,GEOROC, [1589] TATSUMI Y. (1990),TRAIN
PAPER|GEOROC|CITATION_ID|1756,2,CFB|OPB,4,1,GEOROC, [1756] COLWELL J. B.(1994)  [GeoReM [1198] ],TRAIN
PAPER|GEOROC|CITATION_ID|6185,2,BABB|IOAB,4,1,GEOROC, [6185] HAASE K. M. (2002),TEST
PAPER|GEOROC|CITATION_ID|9635,2,CFB|OIB,4,1,GEOROC, [9635] FAN QICHENG (1991),TRAIN
PAPER|MERGED|011706402e882422,2,MORB|OIB,4,2,GEOROC || PetDB," [161] MARTIN C. E. (1991) || Martin, C. E. (1991). OS ISOTOPIC CHARACTERISTICS OF MANTLE DERIVED ROCKS. GEOCHIM COSMOCHIM ACTA, 55, 1421-1434.",TRAIN
PAPER|GEOROC|CITATION_ID|2348,2,IAB|IOAB,3,1,GEOROC, [2348] KUNO H. (1960),TRAIN
