DATABASE,LABEL,TIME_PERIOD,COARSE_LOCATION_TOKEN,n_samples,n_publications
GEOROC,OIB,2011_2025,MARQUESAS,56,3
GEOROC,OIB,2011_2025,MASCARENE ISLANDS INCL. REUNION,141,17
GEOROC,OIB,2011_2025,PETER I ISLAND,6,1
GEOROC,OIB,2011_2025,PITCAIRN-GAMBIER CHAIN,73,7
GEOROC,OIB,2011_2025,PRINCE EDWARD ISLANDS,32,1
GEOROC,OIB,2011_2025,ROSS ISLAND,37,1
GEOROC,OIB,2011_2025,SAMOAN ISLANDS,38,3
GEOROC,OIB,2011_2025,SOCIETY ISLANDS,4,2
GEOROC,OIB,2011_2025,ST. HELENA CHAIN,73,4
GEOROC,OIB,2011_2025,TRISTAN DA CUNHA GROUP,11,3
GEOROC,OIB,through_2010,AHU VOLCANIC FIELD,33,2
GEOROC,OIB,through_2010,AMSTERDAM-ST. PAUL,60,7
GEOROC,OIB,through_2010,ASCENSION,20,6
GEOROC,OIB,through_2010,AUSTRAL-COOK ISLANDS,229,22
GEOROC,OIB,through_2010,AZORES,317,24
GEOROC,OIB,through_2010,BALLENY ISLANDS,2,1
GEOROC,OIB,through_2010,BOUVET,22,3
GEOROC,OIB,through_2010,CAMEROON LINE,32,5
GEOROC,OIB,through_2010,CANARY ISLANDS,1064,63
GEOROC,OIB,through_2010,CAPE VERDE ISLANDS,138,11
GEOROC,OIB,through_2010,CAROLINE ISLANDS,25,5
GEOROC,OIB,through_2010,COCOS ISLAND,15,4
GEOROC,OIB,through_2010,COMOROS,117,11
GEOROC,OIB,through_2010,CROZET ISLANDS,24,5
GEOROC,OIB,through_2010,DESVENTURADOS ISLANDS,3,1
GEOROC,OIB,through_2010,EASTER SEAMOUNT CHAIN - SALAS Y GOMEZ RIDGE,93,8
GEOROC,OIB,through_2010,FERNANDO DE NORONHA ARCHIPELAGO,5,3
GEOROC,OIB,through_2010,GALAPAGOS ISLANDS,816,27
GEOROC,OIB,through_2010,GOUGH CHAIN,70,6
GEOROC,OIB,through_2010,HAINAN ISLAND,68,5
GEOROC,OIB,through_2010,HAWAIIAN ARCH VOLCANIC FIELDS,61,2
GEOROC,OIB,through_2010,HAWAIIAN ISLANDS,6679,217
GEOROC,OIB,through_2010,HAWAIIAN-EMPEROR CHAIN,14,2
GEOROC,OIB,through_2010,HEARD,45,5
GEOROC,OIB,through_2010,ICELAND,2425,123
GEOROC,OIB,through_2010,JAN MAYEN,120,12
GEOROC,OIB,through_2010,JUAN FERNANDEZ ISLANDS,39,4
GEOROC,OIB,through_2010,KERGUELEN,289,19
GEOROC,OIB,through_2010,LEIZHOU PENINSULA,55,3
GEOROC,OIB,through_2010,MADEIRA ARCHIPELAGO,231,9
GEOROC,OIB,through_2010,MARION ISLANDS,15,2
GEOROC,OIB,through_2010,MARQUESAS,295,21
GEOROC,OIB,through_2010,MASCARENE ISLANDS INCL. REUNION,817,29
GEOROC,OIB,through_2010,PETER I ISLAND,13,3
GEOROC,OIB,through_2010,PITCAIRN-GAMBIER CHAIN,111,15
GEOROC,OIB,through_2010,PRINCE EDWARD ISLANDS,7,2
GEOROC,OIB,through_2010,REVILLAGIGEDO ARCHIPELAGO,41,4
GEOROC,OIB,through_2010,ROSS ISLAND,8,2
GEOROC,OIB,through_2010,SAMOAN ISLANDS,168,11
GEOROC,OIB,through_2010,SELVAGEN ISLANDS,12,1
GEOROC,OIB,through_2010,SOCIETY ISLANDS,195,24
GEOROC,OIB,through_2010,ST. HELENA CHAIN,89,11
GEOROC,OIB,through_2010,TRISTAN DA CUNHA GROUP,57,9
GEOROC,OIB,through_2010,TUPA VOLCANIC FIELD,4,1
GEOROC,OIB,through_2010,UMU VOLCANIC FIELD,15,1
GEOROC,OPB,2011_2025,CARIBBEAN-COLOMBIAN PLATEAU,19,5
GEOROC,OPB,2011_2025,MANIHIKI PLATEAU,68,3
GEOROC,OPB,2011_2025,ONTONG JAVA,22,3
GEOROC,OPB,2011_2025,SHATSKY RISE,215,1
GEOROC,OPB,through_2010,BERMUDA RISE,287,4
GEOROC,OPB,through_2010,BRAZIL BASIN,4,1
GEOROC,OPB,through_2010,CAPE VERDE RISE,3,1
GEOROC,OPB,through_2010,CARIBBEAN-COLOMBIAN PLATEAU,357,29
GEOROC,OPB,through_2010,CUVIER (WALLABY) PLATEAU,2,1
GEOROC,OPB,through_2010,HESS RISE,3,2
GEOROC,OPB,through_2010,HIKURANGI PLATEAU,18,2
GEOROC,OPB,through_2010,KERGUELEN PLATEAU,305,17
GEOROC,OPB,through_2010,MANIHIKI PLATEAU,34,4
GEOROC,OPB,through_2010,MASCARENE PLATEAU,2,1
GEOROC,OPB,through_2010,NATURALISTE PLATEAU,9,2
GEOROC,OPB,through_2010,ONTONG JAVA,478,11
GEOROC,OPB,through_2010,RIO GRANDE RISE,32,2
GEOROC,OPB,through_2010,SAO PAULO PLATEAU,1,1
GEOROC,OPB,through_2010,SHATSKY RISE,1,1
PetDB,MORB,2011_2025,"""COUNTRY | ECUADOR",4,1
PetDB,MORB,2011_2025,"""COUNTRY | ICELAND",19,3
PetDB,MORB,2011_2025,"""COUNTRY | KENYA",21,1
PetDB,MORB,2011_2025,"""FRACTURE_ZONE | DISCOVERY",1,1
PetDB,MORB,2011_2025,"""FRACTURE_ZONE | DOLDRUMS",7,1
PetDB,MORB,2011_2025,"""FRACTURE_ZONE | MELVILLE",1,1
PetDB,MORB,2011_2025,"""FRACTURE_ZONE | OWEN",4,1
PetDB,MORB,2011_2025,"""FRACTURE_ZONE | SOUTHWEST INDIAN RIDGE",15,1
PetDB,MORB,2011_2025,"""ISLAND_GROUP | GALAPAGOS ARCHIPELAGO",14,3
PetDB,MORB,2011_2025,"""OCEAN | ARCTIC",19,6
PetDB,MORB,2011_2025,"""OCEAN | ATLANTIC",138,13
PetDB,MORB,2011_2025,"""OCEAN | INDIAN",146,16
PetDB,MORB,2011_2025,"""OCEAN | PACIFIC",69,12
PetDB,MORB,2011_2025,"""OCEAN | SOUTHERN",7,1
PetDB,MORB,2011_2025,"""OCEANIC_PLATEAU | AZORES PLATFORM",7,2
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | ESPANOLA",2,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | FAIAL",2,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | FERNANDINA",1,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | ICELAND",14,2
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | SAN CRISTOBAL",7,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | SANTA CRUZ",1,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | SAO JORGE",1,1
PetDB,MORB,2011_2025,"""OCEAN_ISLAND | TERCEIRA",4,2
PetDB,MORB,2011_2025,"""RIDGE_SECTION | SOUTHEAST INDIAN RIDGE",5,1
PetDB,MORB,2011_2025,"""RIFT | TERCEIRA",3,1
PetDB,MORB,2011_2025,"""SEAMOUNT | AXIAL",2,1
PetDB,MORB,2011_2025,"""SEAMOUNT_CHAIN | GALAPAGOS SEAMOUNTS",6,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER",13,3
PetDB,MORB,2011_2025,"""SPREADING_CENTER | ARCTIC MID-OCEAN RIDGES",9,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | AZORES TRIPLE JUNCTION",13,3
PetDB,MORB,2011_2025,"""SPREADING_CENTER | CARLSBERG RIDGE",45,4
PetDB,MORB,2011_2025,"""SPREADING_CENTER | CENTRAL INDIAN RIDGE",66,6
PetDB,MORB,2011_2025,"""SPREADING_CENTER | COCOS-NAZCA",5,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | EAST AFRICAN RIFT",20,2
PetDB,MORB,2011_2025,"""SPREADING_CENTER | EAST PACIFIC RISE",49,6
PetDB,MORB,2011_2025,"""SPREADING_CENTER | EXPLORER RIDGE",1,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | GAKKEL RIDGE",23,3
PetDB,MORB,2011_2025,"""SPREADING_CENTER | GALAPAGOS",38,8
PetDB,MORB,2011_2025,"""SPREADING_CENTER | JUAN DE FUCA RIDGE",2,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | MID-ATLANTIC RIDGE",213,14
PetDB,MORB,2011_2025,"""SPREADING_CENTER | NORTH SCOTIA RIDGE",9,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | PACIFIC-ANTARCTIC RIDGE",4,1
PetDB,MORB,2011_2025,"""SPREADING_CENTER | REYKJANES RIDGE",16,2
PetDB,MORB,2011_2025,"""SPREADING_CENTER | SOUTHEAST INDIAN RIDGE",3,2
PetDB,MORB,2011_2025,"""SPREADING_CENTER | SOUTHWEST INDIAN RIDGE",95,8
PetDB,MORB,2011_2025,"""SPREADING_CENTER | VALU FA RIDGE",1,1
PetDB,MORB,through_2010,"""BACK-ARC_BASIN | ALBORAN",2,1
PetDB,MORB,through_2010,"""COUNTRY | DJIBOUTI",2,1
PetDB,MORB,through_2010,"""COUNTRY | ECUADOR",5,2
PetDB,MORB,through_2010,"""COUNTRY | KENYA",1,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | ANDREW BAIN",4,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | ATLANTIS",11,3
PetDB,MORB,through_2010,"""FRACTURE_ZONE | DISCOVERY",7,2
PetDB,MORB,through_2010,"""FRACTURE_ZONE | DU TOIT",2,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | ERIC SIMPSON",6,3
PetDB,MORB,through_2010,"""FRACTURE_ZONE | GARRETT TRANSFORM FAULT",2,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | INDOMED",6,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | KANE",17,3
PetDB,MORB,through_2010,"""FRACTURE_ZONE | METEOR RISE",3,2
PetDB,MORB,through_2010,"""FRACTURE_ZONE | PITO",64,4
PetDB,MORB,through_2010,"""FRACTURE_ZONE | PITO FRACTURE ZONE",11,3
PetDB,MORB,through_2010,"""FRACTURE_ZONE | PRINCE EDWARD",1,1
PetDB,MORB,through_2010,"""FRACTURE_ZONE | SHONA RIDGE",5,2
PetDB,MORB,through_2010,"""FRACTURE_ZONE | SIQUEIROS",6,2
PetDB,MORB,through_2010,"""ISLAND_GROUP | GALAPAGOS ARCHIPELAGO",4,1
PetDB,MORB,through_2010,"""ISLAND_GROUP | HANISH-ZUKUR GROUP",1,1
PetDB,MORB,through_2010,"""ISLAND_GROUP | JEBEL TEIR",4,1
PetDB,MORB,through_2010,"""ISLAND_GROUP | ZUBAIR",5,1
PetDB,MORB,through_2010,"""OCEAN | ARCTIC",77,10
PetDB,MORB,through_2010,"""OCEAN | ATLANTIC",439,68
PetDB,MORB,through_2010,"""OCEAN | INDIAN",133,32
PetDB,MORB,through_2010,"""OCEAN | PACIFIC",832,85
PetDB,MORB,through_2010,"""OCEAN | SOUTHERN",10,2
PetDB,MORB,through_2010,"""OCEAN_ISLAND | ICELAND",1,1
PetDB,MORB,through_2010,"""RIDGE_SECTION | SOUTHEAST INDIAN RIDGE",1,1
PetDB,MORB,through_2010,"""RIDGE_SECTION | SOUTHWEST INDIAN RIDGE",2,2
PetDB,MORB,through_2010,"""SEA",7,1
PetDB,MORB,through_2010,"""SEA | ARABIAN",3,3
PetDB,MORB,through_2010,"""SEA | CARIBBEAN",1,1
PetDB,MORB,through_2010,"""SEA | GULF OF CALIFORNIA",13,1
PetDB,MORB,through_2010,"""SEA | RED",81,9
PetDB,MORB,through_2010,"""SEAMOUNT | AXIAL",2,1
PetDB,MORB,through_2010,"""SEAMOUNT_CHAIN | GALAPAGOS SEAMOUNTS",2,1
PetDB,MORB,through_2010,"""SPREADING_CENTER",13,8
PetDB,MORB,through_2010,"""SPREADING_CENTER | AMERICAN-ANTARCTIC RIDGE",11,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | CARLSBERG RIDGE",3,2
PetDB,MORB,through_2010,"""SPREADING_CENTER | CENTRAL INDIAN RIDGE",6,5
PetDB,MORB,through_2010,"""SPREADING_CENTER | CHILE RIDGE",22,4
PetDB,MORB,through_2010,"""SPREADING_CENTER | CHINOOK TROUGH",1,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | COCOS RIDGE",3,3
PetDB,MORB,through_2010,"""SPREADING_CENTER | COCOS-NAZCA",83,3
PetDB,MORB,through_2010,"""SPREADING_CENTER | EAST AFRICAN RIFT",5,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | EAST PACIFIC RISE",536,42
PetDB,MORB,through_2010,"""SPREADING_CENTER | EASTER MICROPLATE RIFTS",4,2
PetDB,MORB,through_2010,"""SPREADING_CENTER | EXPLORER RIDGE",33,4
PetDB,MORB,through_2010,"""SPREADING_CENTER | GALAPAGOS",124,19
PetDB,MORB,through_2010,"""SPREADING_CENTER | GALAPAGOS SPREADING CENTER",3,3
PetDB,MORB,through_2010,"""SPREADING_CENTER | GORDA RIDGE",6,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | GULF OF ADEN",2,2
PetDB,MORB,through_2010,"""SPREADING_CENTER | GULF OF TADJOURA",1,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | JUAN DE FUCA RIDGE",137,8
PetDB,MORB,through_2010,"""SPREADING_CENTER | KNIPOVICH RIDGE",8,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | KOLBEINSEY RIDGE",11,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | MALPELO RIDGE",1,1
PetDB,MORB,through_2010,"""SPREADING_CENTER | MID-ATLANTIC RIDGE",359,56
PetDB,MORB,through_2010,"""SPREADING_CENTER | MOHNS RIDGE",15,4
PetDB,MORB,through_2010,"""SPREADING_CENTER | PACIFIC-ANTARCTIC RIDGE",17,4
PetDB,MORB,through_2010,"""SPREADING_CENTER | RED SEA",92,10
PetDB,MORB,through_2010,"""SPREADING_CENTER | REYKJANES RIDGE",107,7
PetDB,MORB,through_2010,"""SPREADING_CENTER | SOUTHEAST INDIAN RIDGE",110,12
PetDB,MORB,through_2010,"""SPREADING_CENTER | SOUTHWEST INDIAN RIDGE",60,12
PetDB,MORB,through_2010,[unknown],43,8
